,,,Home,,Home,,Home,,,
,,,0,,1,,2,,,
Period,Frame,Time [s],Player0,,Player1,,Player2,,Ball,
1,301,5.016667,0.927795,0.482292,0.792196,0.580455,0.607516,0.566484,0.902902,0.532738
1,302,5.033333,0.927565,0.483294,0.793213,0.582252,0.608032,0.567082,0.900397,0.535691
1,303,5.05,0.927335,0.484295,0.79423,0.58405,0.608548,0.56768,0.897893,0.538644
1,304,5.066667,0.927106,0.485297,0.795247,0.585847,0.609064,0.568278,0.895388,0.541597
1,305,5.083333,0.926876,0.486298,0.795936,0.587404,0.60958,0.568876,0.892884,0.544549
1,306,5.1,0.926647,0.4873,0.796626,0.588962,0.610096,0.569474,0.890379,0.547502
1,307,5.116667,0.926417,0.488301,0.797315,0.59052,0.610612,0.570072,0.887875,0.550454
1,308,5.133333,0.925974,0.489203,0.798004,0.592078,0.611128,0.57067,0.885371,0.553406
1,309,5.15,0.925531,0.490105,0.798693,0.593636,0.611644,0.571269,0.882867,0.556359
1,310,5.166667,0.925088,0.491007,0.799383,0.595194,0.61216,0.571867,0.880363,0.559311
1,311,5.183333,0.924646,0.491909,0.800072,0.596752,0.612676,0.572465,0.877859,0.562262
1,312,5.2,0.924203,0.492811,0.800761,0.59831,0.613192,0.573063,0.875466,0.564583
1,313,5.216667,0.92376,0.493713,0.80145,0.599868,0.613708,0.573661,0.873072,0.566903
1,314,5.233333,0.923317,0.494615,0.802139,0.601426,0.614223,0.574259,0.870679,0.569223
1,315,5.25,0.922874,0.495517,0.802829,0.602983,0.614739,0.574857,0.868285,0.571543
1,316,5.266667,0.922431,0.496419,0.803518,0.604541,0.615255,0.575455,0.865892,0.573863
1,317,5.283333,0.921988,0.497321,0.804207,0.606099,0.615771,0.576053,0.863499,0.576182
1,318,5.3,0.921545,0.498223,0.804896,0.607657,0.616287,0.576652,0.861106,0.578502
1,319,5.316667,0.921102,0.499125,0.805585,0.609215,0.616803,0.57725,0.858713,0.580822
1,320,5.333333,0.920659,0.500026,0.805777,0.610114,0.617076,0.577355,0.85632,0.583141
1,321,5.35,0.920217,0.500928,0.805969,0.611013,0.617349,0.57746,0.853927,0.585461
1,322,5.366667,0.919378,0.501087,0.80616,0.611912,0.617622,0.577565,0.851535,0.58778
