,,,Away,,Away,,Away,,,
,,,0,,1,,2,,,
Period,Frame,Time [s],Player0,,Player1,,Player2,,Ball,
1,336,5.6,0.747601,0.58865,0.693771,0.569883,0.56865,0.521629,nan,nan
1,337,5.616667,0.748927,0.588488,0.695088,0.572737,0.569115,0.521628,nan,nan
1,338,5.633333,0.750252,0.588326,0.696405,0.57559,0.56958,0.521627,nan,nan
1,339,5.65,0.751577,0.588165,0.697722,0.578444,0.570044,0.521626,nan,nan
1,340,5.666667,0.752902,0.588003,0.69904,0.581297,0.570509,0.521624,nan,nan
1,341,5.683333,0.754227,0.587842,0.700357,0.584151,0.570973,0.521623,nan,nan
1,342,5.7,0.755552,0.58768,0.701674,0.587004,0.571438,0.521622,nan,nan
1,343,5.716667,0.756877,0.587518,0.702991,0.589858,0.571903,0.521621,nan,nan
1,344,5.733333,0.758203,0.587357,0.704308,0.592711,0.572367,0.52162,nan,nan
1,345,5.75,0.759528,0.587195,0.705625,0.595565,0.572832,0.521619,nan,nan
1,346,5.766667,0.760853,0.587033,0.706942,0.598418,0.573296,0.521617,nan,nan
1,347,5.783333,0.762178,0.586872,0.708259,0.601272,0.573761,0.521616,nan,nan
1,348,5.8,0.763504,0.58671,0.709576,0.604125,0.574226,0.521615,nan,nan
1,349,5.816667,0.764829,0.586548,0.710893,0.606979,0.57469,0.521614,nan,nan
1,350,5.833333,0.766154,0.586387,0.71221,0.609832,0.575155,0.521613,nan,nan
1,351,5.85,0.76748,0.586225,0.713528,0.612686,0.57562,0.521612,nan,nan
1,352,5.866667,0.768805,0.586063,0.714845,0.615539,0.576084,0.52161,nan,nan
1,353,5.883333,0.77013,0.585902,0.716162,0.618392,0.576549,0.521609,nan,nan
1,354,5.9,0.770798,0.585636,0.71724,0.620266,0.57681,0.520234,nan,nan
1,355,5.916667,0.771466,0.58537,0.718318,0.622141,0.57707,0.518858,nan,nan
1,356,5.933333,0.772133,0.585104,0.719395,0.624015,0.577331,0.517482,nan,nan
1,357,5.95,0.772801,0.584838,0.720473,0.625889,0.577592,0.516106,nan,nan
1,358,5.966667,0.773469,0.584572,0.721551,0.627764,0.577853,0.514731,nan,nan
1,359,5.983333,0.774136,0.584306,0.722629,0.629638,0.578114,0.513355,nan,nan
1,360,6.0,0.774804,0.584039,0.723707,0.631512,0.578375,0.511979,nan,nan
1,361,6.016667,0.775471,0.583773,0.724785,0.633386,0.578635,0.510603,nan,nan
1,362,6.033333,0.776139,0.583507,0.725863,0.63526,0.578896,0.509228,nan,nan
1,363,6.05,0.776807,0.583241,0.726941,0.637135,0.579157,0.507852,nan,nan
1,364,6.066667,0.777475,0.582975,0.728019,0.639009,0.579418,0.506476,nan,nan
1,365,6.083333,0.778142,0.582709,0.729096,0.640883,0.579679,0.5051,nan,nan
1,366,6.1,0.77881,0.582443,0.730174,0.642758,0.57994,0.503724,nan,nan
1,367,6.116667,0.779478,0.582177,0.731252,0.644632,0.580201,0.502349,nan,nan
1,368,6.133333,0.780145,0.581911,0.73233,0.646506,0.580462,0.500973,nan,nan
1,369,6.15,0.780813,0.581645,0.733408,0.64838,0.580722,0.499597,nan,nan
1,370,6.166667,0.781481,0.581379,0.734486,0.650254,0.580983,0.498221,nan,nan
1,371,6.183333,0.782148,0.581113,0.735564,0.652129,0.58171,0.497584,nan,nan
1,372,6.2,0.782816,0.580847,0.736642,0.654003,0.582436,0.496948,nan,nan
1,373,6.216667,0.783484,0.580581,0.73772,0.655877,0.583163,0.496311,nan,nan
1,374,6.233333,0.784152,0.580314,0.738797,0.657751,0.583889,0.495674,nan,nan
1,375,6.25,0.784819,0.580048,0.739875,0.659626,0.584616,0.495038,nan,nan
1,376,6.266667,0.785487,0.579782,0.740953,0.6615,0.585342,0.494401,nan,nan
1,377,6.283333,0.786155,0.579516,0.74158,0.663297,0.586069,0.493764,nan,nan
1,378,6.3,0.786823,0.57925,0.742206,0.665094,0.586796,0.493128,nan,nan
