Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Home,,,1,513,8.55,,,,,0.803344,0.694956,,
Home,,,1,514,8.566667,,,,,0.804567,0.694555,,
Home,,,1,515,8.583333,,,,,0.805789,0.694153,,
Home,,,1,516,8.6,,,,,0.807012,0.693752,,
Home,,,1,517,8.616667,,,,,0.807873,0.6942,,
Home,,,1,518,8.633333,,,,,0.808733,0.694648,,
Home,,,1,519,8.65,,,,,0.809594,0.695096,,
Home,,,1,520,8.666667,,,,,0.810454,0.695544,,
Home,,,1,521,8.683333,,,,,0.811141,0.693745,,
Home,,,1,522,8.7,,,,,0.811141,0.693745,,
Home,,,1,523,8.716667,,,,,0.809764,0.691949,,
Home,,,1,524,8.733333,,,,,0.808387,0.690153,,
Home,,,1,525,8.75,,,,,0.807007,0.683861,,
Home,,,1,526,8.766667,,,,,0.805627,0.677569,,
Home,,,1,527,8.783333,,,,,0.804246,0.670378,,
Home,,,1,528,8.8,,,,,0.802865,0.663186,,
Home,,,1,529,8.816667,,,,,0.79942,0.655998,,
Home,PASS,,1,530,8.833333,674,11.23333,Player1,Player2,0.795977,0.650608,0.358017,0.342452
Home,,,1,531,8.85,,,,,0.792533,0.645219,,
Home,,,1,532,8.866667,,,,,0.788401,0.639831,,
Home,,,1,533,8.883333,,,,,0.78427,0.636242,,
Home,,,1,534,8.9,,,,,0.780655,0.63164,,
Home,,,1,535,8.916667,,,,,0.77704,0.627037,,
Home,,,1,536,8.933333,,,,,0.773424,0.622435,,
Home,,,1,537,8.95,,,,,0.769809,0.617833,,
Home,,,1,538,8.966667,,,,,0.766194,0.613232,,
Home,,,1,539,8.983333,,,,,0.762579,0.60863,,
Home,,,1,540,9.0,,,,,0.758964,0.604028,,
Home,,,1,541,9.016667,,,,,0.755349,0.599426,,
Home,,,1,542,9.033333,,,,,0.751734,0.594824,,
Home,,,1,543,9.05,,,,,0.748119,0.590222,,
Home,,,1,544,9.066667,,,,,0.744504,0.585621,,
Home,,,1,545,9.083333,,,,,0.740889,0.581019,,
Home,,,1,546,9.1,,,,,0.737274,0.576417,,
Home,,,1,547,9.116667,,,,,0.733659,0.571816,,
Home,,,1,548,9.133333,,,,,0.730044,0.567214,,
Home,,,1,549,9.15,,,,,0.726429,0.562613,,
Home,,,1,550,9.166667,,,,,0.723025,0.558623,,
Home,,,1,551,9.183333,,,,,0.719621,0.554633,,
Home,,,1,552,9.2,,,,,0.716217,0.550643,,
Home,,,1,553,9.216667,,,,,0.712813,0.546654,,
Home,,,1,554,9.233333,,,,,0.709409,0.542664,,
Home,,,1,555,9.25,,,,,0.706005,0.538674,,
Home,,,1,556,9.266667,,,,,0.702601,0.534685,,
Home,,,1,557,9.283333,,,,,0.699197,0.530695,,
Home,,,1,558,9.3,,,,,0.695793,0.526706,,
Home,,,1,559,9.316667,,,,,0.692389,0.522716,,
Home,,,1,560,9.333333,,,,,0.688985,0.518727,,
Home,,,1,561,9.35,,,,,0.685582,0.514738,,
Home,,,1,562,9.366667,,,,,0.682178,0.510748,,
Home,,,1,563,9.383333,,,,,0.678774,0.506759,,
Home,,,1,564,9.4,,,,,0.675371,0.50277,,
Home,,,1,565,9.416667,,,,,0.671967,0.49878,,
